county,owner_class,total_bridges,total_bridges_over_water
Albany County,State,258,84
Albany County,County,71,70
Albany County,Municipal,12,9
Albany County,Railroad,2,0
Allegany County,Municipal,171,170
Allegany County,County,121,121
Allegany County,State,111,87
Bronx County,State,169,15
Bronx County,Municipal,136,24
Bronx County,Railroad,1,0
Broome County,State,286,149
Broome County,County,108,103
Broome County,Municipal,72,68
Cattaraugus County,County,259,257
Cattaraugus County,State,202,150
Cattaraugus County,Municipal,20,19
Cattaraugus County,Railroad,2,0
Cayuga County,State,57,45
Cayuga County,Municipal,47,46
Cayuga County,County,42,41
Chautauqua County,County,305,299
Chautauqua County,State,251,142
Chautauqua County,Municipal,2,2
Chemung County,County,136,136
Chemung County,State,99,66
Chemung County,Municipal,19,18
Chemung County,Railroad,1,0
Chenango County,County,134,134
Chenango County,State,117,104
Chenango County,Municipal,5,5
Clinton County,County,99,99
Clinton County,State,90,54
Clinton County,Municipal,11,10
Clinton County,Railroad,1,0
Columbia County,County,130,130
Columbia County,State,100,68
Columbia County,Municipal,9,8
Columbia County,Railroad,4,0
Cortland County,State,93,69
Cortland County,County,65,65
Cortland County,Municipal,30,30
Delaware County,County,294,293
Delaware County,State,141,118
Delaware County,Municipal,15,15
Dutchess County,State,138,76
Dutchess County,County,134,133
Dutchess County,Municipal,47,44
Dutchess County,Railroad,11,0
Dutchess County,Federal,4,4
Erie County,State,490,185
Erie County,County,281,270
Erie County,Municipal,114,86
Erie County,Railroad,3,1
Essex County,County,131,130
Essex County,State,121,94
Essex County,Municipal,1,1
Franklin County,County,135,135
Franklin County,State,45,45
Franklin County,Municipal,9,9
Fulton County,Municipal,43,43
Fulton County,County,35,35
Fulton County,State,20,19
Genesee County,County,86,86
Genesee County,State,72,45
Genesee County,Municipal,3,3
Genesee County,Railroad,1,0
Greene County,County,129,128
Greene County,State,85,62
Greene County,Municipal,13,13
Greene County,Railroad,1,0
Hamilton County,State,46,46
Hamilton County,County,42,42
Herkimer County,State,126,93
Herkimer County,County,66,64
Herkimer County,Municipal,51,51
Jefferson County,State,142,89
Jefferson County,County,126,126
Jefferson County,Municipal,26,26
Jefferson County,Federal,22,20
Kings County,Municipal,164,22
Kings County,State,79,5
Lewis County,County,89,89
Lewis County,State,49,45
Lewis County,Municipal,30,30
Livingston County,State,95,63
Livingston County,County,65,64
Livingston County,Municipal,4,4
Livingston County,Railroad,1,0
Madison County,County,111,108
Madison County,State,58,46
Madison County,Municipal,4,4
Madison County,Railroad,1,0
Monroe County,State,437,157
Monroe County,County,126,122
Monroe County,Municipal,43,35
Monroe County,Railroad,3,0
Montgomery County,State,93,65
Montgomery County,County,88,86
Montgomery County,Municipal,23,23
Nassau County,State,258,29
Nassau County,County,41,36
Nassau County,Municipal,24,14
New York County,Municipal,207,22
New York County,State,37,5
Niagara County,State,128,62
Niagara County,County,84,82
Niagara County,Municipal,55,48
Oneida County,State,268,153
Oneida County,Municipal,118,118
Oneida County,County,108,107
Onondaga County,State,322,94
Onondaga County,County,98,91
Onondaga County,Municipal,53,50
Ontario County,State,84,49
Ontario County,County,75,75
Ontario County,Municipal,19,19
Orange County,State,250,100
Orange County,County,145,138
Orange County,Municipal,61,54
Orange County,Federal,10,7
Orange County,Railroad,6,0
Orleans County,State,69,56
Orleans County,County,65,65
Orleans County,Municipal,1,1
Oswego County,County,109,108
Oswego County,State,103,66
Oswego County,Municipal,21,17
Otsego County,State,111,73
Otsego County,County,86,86
Otsego County,Municipal,70,69
Otsego County,Railroad,1,0
Putnam County,State,59,22
Putnam County,County,24,24
Putnam County,Municipal,14,14
Putnam County,Railroad,7,1
Queens County,Municipal,257,31
Queens County,State,252,20
Queens County,County,1,1
Rensselaer County,State,131,76
Rensselaer County,Municipal,74,67
Rensselaer County,County,60,57
Rensselaer County,Railroad,2,0
Richmond County,State,84,6
Richmond County,Municipal,79,19
Rockland County,State,162,59
Rockland County,County,68,58
Rockland County,Municipal,15,12
Rockland County,Railroad,2,0
Saratoga County,State,104,60
Saratoga County,County,101,98
Saratoga County,Municipal,18,14
Saratoga County,Federal,4,4
Saratoga County,Railroad,1,0
Schenectady County,State,89,27
Schenectady County,County,17,17
Schenectady County,Railroad,5,1
Schenectady County,Municipal,4,1
Schoharie County,County,91,90
Schoharie County,State,80,59
Schoharie County,Municipal,3,3
Schuyler County,County,44,44
Schuyler County,State,38,37
Schuyler County,Municipal,18,18
Seneca County,State,33,22
Seneca County,County,14,14
Seneca County,Municipal,12,12
Steuben County,State,271,162
Steuben County,County,192,191
Steuben County,Municipal,163,163
Steuben County,Federal,1,1
St. Lawrence County,County,194,194
St. Lawrence County,State,92,88
St. Lawrence County,Municipal,24,22
St. Lawrence County,Federal,1,1
Suffolk County,State,276,28
Suffolk County,County,71,39
Suffolk County,Municipal,21,12
Suffolk County,Federal,1,1
Sullivan County,County,232,232
Sullivan County,State,117,79
Sullivan County,Municipal,15,15
Sullivan County,Railroad,1,0
Tioga County,State,99,66
Tioga County,County,77,77
Tioga County,Municipal,43,42
Tompkins County,County,109,109
Tompkins County,State,58,52
Tompkins County,Municipal,25,25
Ulster County,County,156,153
Ulster County,State,145,94
Ulster County,Municipal,90,86
Warren County,State,72,46
Warren County,County,56,56
Warren County,Municipal,12,12
Washington County,County,113,113
Washington County,State,62,57
Washington County,Municipal,7,7
Washington County,Railroad,3,0
Wayne County,State,47,42
Wayne County,County,43,42
Wayne County,Municipal,7,5
Westchester County,State,511,195
Westchester County,County,122,94
Westchester County,Municipal,106,77
Westchester County,Railroad,33,0
Wyoming County,County,87,87
Wyoming County,State,49,47
Yates County,County,40,40
Yates County,State,15,15
